Student_ID,Gender,Study_Hours,Attendance,Internal_Marks,Assignment_Score,Midterm_Score,Final_Score,Final_Result
1,Male,2,65,12,10,22,44,Fail
2,Female,4,80,20,16,35,71,Pass
3,Male,1,55,10,8,18,36,Fail
4,Female,6,90,25,18,42,85,Pass
5,Male,3,70,15,12,28,55,Pass
6,Female,5,85,22,17,40,79,Pass
7,Male,2,60,13,11,24,48,Fail
8,Female,7,95,28,19,45,92,Pass
9,Male,4,75,18,14,32,64,Pass
10,Female,1,50,9,7,15,31,Fail
11,Male,5,88,23,16,38,77,Pass
12,Female,3,68,14,12,26,52,Pass
13,Male,2,58,11,9,20,40,Fail
14,Female,6,92,26,18,43,87,Pass
15,Male,4,78,19,15,34,68,Pass
16,Female,2,62,13,10,23,46,Fail
17,Male,7,96,29,20,47,95,Pass
18,Female,5,82,21,16,37,74,Pass
19,Male,1,48,8,6,14,28,Fail
20,Female,3,72,16,13,29,58,Pass
