Area,Bedrooms,Bathrooms,Floors,Parking,Age,Price
3674,3,1,2,1,28,22674207
1360,2,2,3,2,20,8910116
1794,1,1,2,0,29,10412863
1630,1,4,3,2,7,11906611
1595,3,4,2,0,13,10903562
3592,2,3,1,0,9,23038589
2138,1,4,3,0,26,13554716
2669,1,1,1,2,18,16572860
966,4,1,2,0,7,6990922
1738,4,4,2,2,18,12367767
830,1,2,1,2,3,5837322
1982,3,2,2,1,9,13814343
2635,5,1,1,2,22,17711940
3944,5,2,2,2,2,26607838
3671,1,3,2,1,3,23677283
3419,1,3,3,1,15,21343966
630,1,4,1,1,23,4045265
2185,3,4,2,0,3,14926918
3880,4,2,1,0,24,24719284
1269,1,1,3,1,19,7534722
2891,1,4,1,0,28,17481512
2015,2,3,3,1,29,12580600
3985,3,4,1,0,19,25030954
3353,1,4,1,2,12,21964942
2933,2,3,3,0,20,18626634
1715,5,1,2,0,16,11422777
1455,1,4,2,2,22,9956893
2824,1,4,2,1,24,17968415
1684,2,4,1,0,15,11812234
959,3,2,1,0,27,6206911
3885,1,4,2,2,24,24707575
521,5,3,1,2,16,5578160
2800,1,1,1,2,5,18067483
1247,5,1,2,2,2,10061426
3404,4,3,3,1,19,22063809
974,4,2,1,0,23,6518559
1582,5,3,1,0,3,12185683
3058,3,1,1,0,7,19422001
2547,1,3,1,0,19,16041259
3247,1,2,3,1,8,20385690
1475,4,1,2,0,21,9700279
2306,5,2,1,1,0,16450848
689,1,3,2,1,12,5397459
3505,1,4,1,2,25,21439092
3234,3,3,3,2,1,22246157
3505,2,2,2,0,22,21418393
1062,4,3,3,1,9,8852583
2399,4,4,1,2,22,16448449
1767,2,2,3,1,18,11010456
3379,1,3,3,2,16,20836993
2028,3,2,1,1,23,13452113
3702,3,2,1,0,12,23665788
1146,4,1,2,0,28,7246177
2568,3,1,1,1,25,15962315
3388,2,2,2,2,13,22008271
2714,1,3,3,2,26,16895305
1797,2,3,3,0,10,11978327
2935,5,3,2,0,9,19578354
1100,4,4,1,0,6,9435209
2863,3,2,1,2,9,18743754
2561,5,2,3,2,23,16968973
741,3,4,2,0,0,7182398
2541,1,2,3,1,13,16332141
3324,1,2,3,2,2,21593623
3917,1,4,1,0,12,24526201
3112,3,1,2,1,1,20674947
3445,5,2,3,2,16,23412310
1863,1,4,1,1,20,12150986
2639,5,3,3,1,2,18387573
1890,3,1,3,2,25,12549445
